ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
12372,MN,Minnesota,Ada,Norman,47.315597,-96.503569
12373,MN,Minnesota,Adams,Mower,43.559119,-92.730494
12374,MN,Minnesota,Adolph,"Saint Louis",46.841,-92.2201
12375,MN,Minnesota,Adrian,Nobles,43.619683,-95.927261
12376,MN,Minnesota,Afton,Washington,44.86965,-92.823358
12377,MN,Minnesota,"Ah Gwah Ching",Cass,46.242778,-93.274722
12378,MN,Minnesota,Aitkin,Aitkin,46.479929,-93.645413
12379,MN,Minnesota,Akeley,Hubbard,47.000987,-94.72343
12380,MN,Minnesota,Albany,Stearns,45.615114,-94.574022
12381,MN,Minnesota,"Albert Lea",Freeborn,43.653678,-93.370672
12382,MN,Minnesota,Alberta,Stevens,45.557086,-96.049772
12383,MN,Minnesota,Albertville,Wright,45.253425,-93.646899
12384,MN,Minnesota,Alborn,"Saint Louis",46.978229,-92.557937
12385,MN,Minnesota,Alden,Freeborn,43.646586,-93.582307
12386,MN,Minnesota,Aldrich,Wadena,46.402538,-94.992017
12387,MN,Minnesota,Alexandria,Douglas,45.881747,-95.381994
12388,MN,Minnesota,Almelund,Chisago,45.491389,-92.785278
12389,MN,Minnesota,Alpha,Jackson,43.594594,-94.905088
12390,MN,Minnesota,Altura,Winona,44.136114,-91.974474
12391,MN,Minnesota,Alvarado,Marshall,48.201968,-96.991457
12392,MN,Minnesota,Amboy,"Blue Earth",43.890326,-94.177353
12393,MN,Minnesota,Andover,Anoka,45.25068,-93.284531
12394,MN,Minnesota,"Angle Inlet","Lake Of The Woods",49.324924,-95.090248
12395,MN,Minnesota,Angora,"Saint Louis",47.757738,-92.641332
12396,MN,Minnesota,Annandale,Wright,45.248272,-94.106072
12397,MN,Minnesota,Anoka,Anoka,45.238537,-93.407822
12398,MN,Minnesota,Appleton,Swift,45.20543,-95.994872
12399,MN,Minnesota,Arco,Lincoln,44.409147,-96.199913
12400,MN,Minnesota,Argyle,Marshall,48.331418,-96.867096
12401,MN,Minnesota,Arlington,Sibley,44.615279,-94.076195
12402,MN,Minnesota,Ashby,Grant,46.078066,-95.821417
12403,MN,Minnesota,Askov,Pine,46.196408,-92.752812
12404,MN,Minnesota,Atwater,Kandiyohi,45.111645,-94.793779
12405,MN,Minnesota,Audubon,Becker,46.871887,-95.988136
12406,MN,Minnesota,Aurora,"Saint Louis",47.495096,-92.241486
12407,MN,Minnesota,Austin,Mower,43.669538,-92.978374
12408,MN,Minnesota,Avoca,Murray,43.970553,-95.600152
12409,MN,Minnesota,Avon,Stearns,45.612168,-94.436029
12410,MN,Minnesota,Babbitt,"Saint Louis",47.709121,-91.956951
12411,MN,Minnesota,Backus,Cass,46.869905,-94.395918
12412,MN,Minnesota,Badger,Roseau,48.791294,-96.096523
12413,MN,Minnesota,Bagley,Clearwater,47.487024,-95.41334
12414,MN,Minnesota,Balaton,Lyon,44.225253,-95.88377
12415,MN,Minnesota,Barnesville,Clay,46.677296,-96.37269
12416,MN,Minnesota,Barnum,Carlton,46.519616,-92.629167
12417,MN,Minnesota,Barrett,Grant,45.899555,-95.875391
12418,MN,Minnesota,Barry,"Big Stone",45.547446,-96.560527
12419,MN,Minnesota,"Battle Lake","Otter Tail",46.314175,-95.714395
12420,MN,Minnesota,Baudette,"Lake Of The Woods",48.692724,-94.599479
12421,MN,Minnesota,Baxter,"Crow Wing",46.343333,-94.286389
12422,MN,Minnesota,Bayport,Washington,45.021405,-92.784375
12423,MN,Minnesota,Beardsley,"Big Stone",45.553855,-96.706013
12424,MN,Minnesota,"Beaver Bay",Lake,47.257778,-91.300278
12425,MN,Minnesota,"Beaver Creek",Rock,43.622343,-96.369771
12426,MN,Minnesota,Becker,Sherburne,45.436539,-93.840966
12427,MN,Minnesota,Bejou,Mahnomen,47.44909,-95.945423
12428,MN,Minnesota,Belgrade,Stearns,45.486522,-94.969877
